"EBI20_S_14.07.2019" "EBI20_S_30.07.2019" "EBI20_S_13.08.2019" "EBI20_S_13.09.2019" "EBI20_S_11.10.2019" "EBI20_S_28.10.2019" "EBI20_S_14.11.2019" "EBI20_S_09.12.2019" "EBI20_S_14.01.2020" "EBI20_S_07.02.2020" "EBI20_S_04.03.2020" "EBI20_S_14.04.2020" "EBI20_S_29.04.2020" "EBI20_S_13.05.2020" "EBI20_S_26.05.2020" "EBI20_S_23.06.2020" "EBI20_S_09.07.2020" "EBI20_S_23.07.2020" "EBI20_S_05.08.2020" "EBI20_S_19.08.2020"
"K00001" 1.5993042885387 1.62864269549259 1.62985435831842 1.61951020735056 1.59164864686115 1.63743379914743 1.63363035248862 1.65099205939468 1.63421592427053 1.65095552622635 1.63780080317334 1.68360037188854 1.63391083750089 1.63192941071614 1.62668406567744 1.68548987406862 1.65082206247814 1.3660378464664 1.65181613464876 1.46722719997207
"K00002" 0.0723191244559266 0.0624852785806331 0.0597320468248546 0.0611188364248039 0.0572771255247791 0.0644309156368146 0.0596453405663555 0.0566009338839921 0.0546352864768886 0.056880528029461 0.056119252712238 0.0574959774922047 0.0536895256259954 0.0601778788892039 0.0655849594472559 0.0612633969569031 0.0593689422565438 0.054628077295515 0.062534907970815 0.0596055578909443
"K00003" 0.643416857560592 0.6757139968333 0.663957556504958 0.692380729629377 0.654407314315197 0.683278938783233 0.668171858022016 0.681117792193285 0.659125511613242 0.669283685025167 0.66561560051064 0.662758247993963 0.65902819186801 0.659301307550125 0.656716567080211 0.674042284228626 0.663931458235545 0.5482537532601 0.64846866494616 0.594637574263805
"K00004" 0.144860378760327 0.161875677372715 0.1571145149024 0.153484199637694 0.160415774534115 0.167265730123628 0.161051829321864 0.165248451082385 0.165144672614073 0.167489450013244 0.166001028667494 0.172949295085662 0.162008075544209 0.162732421757105 0.169972470245778 0.175488773035569 0.163035480240622 0.131463640726059 0.16485412319957 0.139774248763721
"K00005" 0.0287688997990767 0.03303618198977 0.0274503637444373 0.0341309601695432 0.0279596181114549 0.0315750181093352 0.0276456544981644 0.0283742877058201 0.0257024975620905 0.026893487362519 0.0246422624987258 0.0273045174503249 0.0294870801238818 0.0275763405006936 0.0328440975465925 0.0290007659414861 0.0294161123684257 0.0350176439345549 0.0291549822348227 0.0310982912941265
"K00007" 0.011123540857506 0 0.0104509457103237 0 0 0 0.0111560624775013 0.0138676636427985 0.0148045431796809 0.0125972684855722 0.0129246626961986 0.0118513239817104 0.0122631268506851 0.0122853862195298 0.0106932929692575 0.0125977265154295 0.0120245657911302 0 0 0
"K00008" 0.582856602897535 0.61130060338626 0.595078377785004 0.617494808864983 0.580656068115465 0.625222537444272 0.593532831548271 0.58515814677241 0.563927335168563 0.568106268442254 0.583559909488514 0.588367854637946 0.569401521585684 0.588434552019524 0.609503554502995 0.588010583772969 0.588921687170019 0.50984284587532 0.579625243263903 0.539190376252024
"K00009" 0.0272943357799034 0.0324076517070169 0.0313384348993261 0.0308025905563284 0.0276295778637802 0.0330965127348448 0.0320279106509766 0.0326031931387971 0.0322293469412869 0.0330337337257136 0.0356660714607906 0.0322623241865295 0.0312446667262525 0.0313614277627698 0.0334661656094523 0.0324621442226169 0.0331692452649277 0.0263390678085181 0.0291869519609989 0.0252229765577371
"K00010" 2.08790980118733 2.02896862993836 1.97848751495361 2.07349899548701 1.98069041765516 2.10037186919724 2.01105753815807 2.07170191643848 1.98375361392841 1.96081042599292 2.03251859643048 2.17320668991243 2.15718886337594 2.15026120409619 2.22641648566118 2.0802254295362 2.11483157830348 1.74202401131898 2.14444840638772 1.82569747622012
"K00011" 0.0313622649822966 0.0382249564123413 0.0383535547603527 0.0425257667192484 0.0395492503937212 0.0370786584952364 0.0436281310700872 0.0457670022479523 0.0465471894544077 0.0463753946700127 0.0458773181491559 0.0441168325317646 0.0404215586493823 0.0355616726865526 0.0368725998370939 0.0446187492583174 0.0380110045768692 0.0314012661788438 0.041236478740038 0.0355975369022612
"K00012" 0.862272160968606 0.827759297613268 0.824662770374952 0.834702044628916 0.841278571256937 0.837020772676325 0.837387464565253 0.854759315219043 0.848785188713489 0.846310856975337 0.841048113978905 0.856489735599227 0.856084540694738 0.85520137113497 0.850047033803685 0.862219179582181 0.850666695177649 0.710315808494 0.858558635869804 0.752419638051833
"K00013" 0.718540455681186 0.717106160580538 0.716292208307193 0.70457152515366 0.708353630624457 0.724445082083351 0.706892735554017 0.716395083742003 0.701609479869965 0.711406838569907 0.710922494603658 0.70718672096782 0.71074591389239 0.716034141647417 0.705393412720574 0.715698338785173 0.714311187184645 0.595529840167448 0.703661226258882 0.631719319863327
