Sample;SerieNumber;Date Info;Number of reads total
EBI20_TS_1;S35;EBI20_S_14.07.2019;38394978
EBI20_TS_2;S36;EBI20_S_30.07.2019;122850586
EBI20_TS_3;S37;EBI20_S_13.08.2019;85868110
EBI20_TS_4;S38;EBI20_S_13.09.2019;47685899
EBI20_TS_5;S39;EBI20_S_11.10.2019;142430238
EBI20_TS_6;S40;EBI20_S_28.10.2019;48729506
EBI20_TS_7;S41;EBI20_S_14.11.2019;55547235
EBI20_TS_8;S42;EBI20_S_09.12.2019;59613573
EBI20_TS_9;S43;EBI20_S_14.01.2020;34137634
EBI20_TS_10;S44;EBI20_S_07.02.2020;85411412
EBI20_TS_11;S45;EBI20_S_04.03.2020;49189563
EBI20_TS_13;S46;EBI20_S_14.04.2020;223145485
EBI20_TS_14;S47;EBI20_S_29.04.2020;56597359
EBI20_TS_15;S48;EBI20_S_13.05.2020;120383770
EBI20_TS_16;S49;EBI20_S_26.05.2020;273669469
EBI20_TS_12.5;S110;EBI20_S_23.06.2020;132830481
EBI20_TS_14.5;S111;EBI20_S_09.07.2020;95239206
EBI20_TS_17;S112;EBI20_S_23.07.2020;102960981
EBI20_TS_18;S113;EBI20_S_05.08.2020;126731919
EBI20_TS_19;S114;EBI20_S_19.08.2020;126311003
EOI15_TS_1;S77;EOI15_S_2019.08.21;118771096
EOI15_TS_2;S78;EOI15_S_2019.09.13;67072549
EOI15_TS_3;S79;EOI15_S_2019.10.23;48857988
EOI15_TS_4;S80;EOI15_S_2019.11.08;82623366
EOI15_TS_5;S81;EOI15_S_2019.11.28;126777205
EOI15_TS_6;S82;EOI15_S_2020.01.20;136919867
EOI15_TS_7;S83;EOI15_S_2020.02.07;80203788
EOI15_TS_8;S84;EOI15_S_2020.03.26;320379510
EOI15_TS_9;S85;EOI15_S_2020.04.23;138869634
EOI15_TS_10;S86;EOI15_S_2020.05.15;64781536
EOI15_TS_11;S87;EOI15_S_2020.06.09;71095329
EOI15_TS_12;S102;EOI15_S_2020.07.02;152772273
EOI15_TS_13;S116;EOI15_S_2020.07.15;85114898
EOI15_TS_14;S117;EOI15_S_2020.07.28;101859059
EOI15_TS_15;S118;EOI15_S_2020.08.14;114377009
EOI15_TS_16;S119;EOI15_S_2020.09.01;107903616
EOI15_TS_17;S120;EOI15_S_2020.09.23;88933954
EOI15_TS_18;S121;EOI15_S_2020.10.09;129409962
EOI15_TS_19;S122;EOI15_S_2020.10.22;104513591
EOI15_TS_20;S123;EOI15_S_2020.11.05;87226251
EOI15_TS_21;S124;EOI15_S_2020.12.02 ;86323489
