KO;catA_KO;catA_name;catB_KO;catB_name;catC_KO;catC_name;catD_KO;catD_name;catD_shortname;catD_EC
K00001;09100;Metabolism;09101;Carbohydrate metabolism;00010;Glycolysis / Gluconeogenesis;K00001;alcohol dehydrogenase;E1.1.1.1, adh;EC:1.1.1.1
K00001;09100;Metabolism;09101;Carbohydrate metabolism;00620;Pyruvate metabolism;K00001;alcohol dehydrogenase;E1.1.1.1, adh;EC:1.1.1.1
K00001;09100;Metabolism;09103;Lipid metabolism;00071;Fatty acid degradation;K00001;alcohol dehydrogenase;E1.1.1.1, adh;EC:1.1.1.1
K00001;09100;Metabolism;09105;Amino acid metabolism;00350;Tyrosine metabolism;K00001;alcohol dehydrogenase;E1.1.1.1, adh;EC:1.1.1.1
K00001;09100;Metabolism;09108;Metabolism of cofactors and vitamins;00830;Retinol metabolism;K00001;alcohol dehydrogenase;E1.1.1.1, adh;EC:1.1.1.1
K00001;09100;Metabolism;09111;Xenobiotics biodegradation and metabolism;00625;Chloroalkane and chloroalkene degradation;K00001;alcohol dehydrogenase;E1.1.1.1, adh;EC:1.1.1.1
K00001;09100;Metabolism;09111;Xenobiotics biodegradation and metabolism;00626;Naphthalene degradation;K00001;alcohol dehydrogenase;E1.1.1.1, adh;EC:1.1.1.1
K00001;09100;Metabolism;09111;Xenobiotics biodegradation and metabolism;00980;Metabolism of xenobiotics by cytochrome P450;K00001;alcohol dehydrogenase;E1.1.1.1, adh;EC:1.1.1.1
K00001;09100;Metabolism;09111;Xenobiotics biodegradation and metabolism;00982;Drug metabolism - cytochrome P450;K00001;alcohol dehydrogenase;E1.1.1.1, adh;EC:1.1.1.1
K00002;09100;Metabolism;09101;Carbohydrate metabolism;00010;Glycolysis / Gluconeogenesis;K00002;alcohol dehydrogenase (NADP+);AKR1A1, adh;EC:1.1.1.2
K00002;09100;Metabolism;09101;Carbohydrate metabolism;00040;Pentose and glucuronate interconversions;K00002;alcohol dehydrogenase (NADP+);AKR1A1, adh;EC:1.1.1.2
K00002;09100;Metabolism;09101;Carbohydrate metabolism;00053;Ascorbate and aldarate metabolism;K00002;alcohol dehydrogenase (NADP+);AKR1A1, adh;EC:1.1.1.2
K00002;09100;Metabolism;09101;Carbohydrate metabolism;00620;Pyruvate metabolism;K00002;alcohol dehydrogenase (NADP+);AKR1A1, adh;EC:1.1.1.2
K00002;09100;Metabolism;09103;Lipid metabolism;00561;Glycerolipid metabolism;K00002;alcohol dehydrogenase (NADP+);AKR1A1, adh;EC:1.1.1.2
K00002;09100;Metabolism;09111;Xenobiotics biodegradation and metabolism;00930;Caprolactam degradation;K00002;alcohol dehydrogenase (NADP+);AKR1A1, adh;EC:1.1.1.2
K00002;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K00002;alcohol dehydrogenase (NADP+);AKR1A1, adh;EC:1.1.1.2
K00003;09100;Metabolism;09105;Amino acid metabolism;00260;Glycine, serine and threonine metabolism;K00003;homoserine dehydrogenase;hom;EC:1.1.1.3
K00003;09100;Metabolism;09105;Amino acid metabolism;00270;Cysteine and methionine metabolism;K00003;homoserine dehydrogenase;hom;EC:1.1.1.3
K00003;09100;Metabolism;09105;Amino acid metabolism;00300;Lysine biosynthesis;K00003;homoserine dehydrogenase;hom;EC:1.1.1.3
K00004;09100;Metabolism;09101;Carbohydrate metabolism;00650;Butanoate metabolism;K00004;(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase;BDH, butB;EC:1.1.1.4 1.1.1.- 1.1.1.303
K00005;09100;Metabolism;09101;Carbohydrate metabolism;00640;Propanoate metabolism;K00005;glycerol dehydrogenase;gldA;EC:1.1.1.6
K00005;09100;Metabolism;09103;Lipid metabolism;00561;Glycerolipid metabolism;K00005;glycerol dehydrogenase;gldA;EC:1.1.1.6
K00007;09100;Metabolism;09101;Carbohydrate metabolism;00040;Pentose and glucuronate interconversions;K00007;D-arabinitol 4-dehydrogenase;dalD;EC:1.1.1.11
K00007;09100;Metabolism;09101;Carbohydrate metabolism;00051;Fructose and mannose metabolism;K00007;D-arabinitol 4-dehydrogenase;dalD;EC:1.1.1.11
K00008;09100;Metabolism;09101;Carbohydrate metabolism;00040;Pentose and glucuronate interconversions;K00008;L-iditol 2-dehydrogenase;SORD, gutB;EC:1.1.1.14
K00008;09100;Metabolism;09101;Carbohydrate metabolism;00051;Fructose and mannose metabolism;K00008;L-iditol 2-dehydrogenase;SORD, gutB;EC:1.1.1.14
K00009;09100;Metabolism;09101;Carbohydrate metabolism;00051;Fructose and mannose metabolism;K00009;mannitol-1-phosphate 5-dehydrogenase;mtlD;EC:1.1.1.17
K00010;09100;Metabolism;09101;Carbohydrate metabolism;00562;Inositol phosphate metabolism;K00010;myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase;iolG;EC:1.1.1.18 1.1.1.369
K00010;09100;Metabolism;09110;Biosynthesis of other secondary metabolites;00521;Streptomycin biosynthesis;K00010;myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase;iolG;EC:1.1.1.18 1.1.1.369
K00011;09100;Metabolism;09101;Carbohydrate metabolism;00040;Pentose and glucuronate interconversions;K00011;aldehyde reductase;AKR1B;EC:1.1.1.21
K00011;09100;Metabolism;09101;Carbohydrate metabolism;00051;Fructose and mannose metabolism;K00011;aldehyde reductase;AKR1B;EC:1.1.1.21
K00011;09100;Metabolism;09101;Carbohydrate metabolism;00052;Galactose metabolism;K00011;aldehyde reductase;AKR1B;EC:1.1.1.21
K00011;09100;Metabolism;09103;Lipid metabolism;00561;Glycerolipid metabolism;K00011;aldehyde reductase;AKR1B;EC:1.1.1.21
K00011;09100;Metabolism;09108;Metabolism of cofactors and vitamins;00790;Folate biosynthesis;K00011;aldehyde reductase;AKR1B;EC:1.1.1.21
K00012;09100;Metabolism;09101;Carbohydrate metabolism;00040;Pentose and glucuronate interconversions;K00012;UDPglucose 6-dehydrogenase;UGDH, ugd;EC:1.1.1.22
K00012;09100;Metabolism;09101;Carbohydrate metabolism;00053;Ascorbate and aldarate metabolism;K00012;UDPglucose 6-dehydrogenase;UGDH, ugd;EC:1.1.1.22
K00012;09100;Metabolism;09101;Carbohydrate metabolism;00520;Amino sugar and nucleotide sugar metabolism;K00012;UDPglucose 6-dehydrogenase;UGDH, ugd;EC:1.1.1.22
K00012;09100;Metabolism;09107;Glycan biosynthesis and metabolism;00541;O-Antigen nucleotide sugar biosynthesis;K00012;UDPglucose 6-dehydrogenase;UGDH, ugd;EC:1.1.1.22
K00013;09100;Metabolism;09105;Amino acid metabolism;00340;Histidine metabolism;K00013;histidinol dehydrogenase;hisD;EC:1.1.1.23
K00014;09100;Metabolism;09105;Amino acid metabolism;00400;Phenylalanine, tyrosine and tryptophan biosynthesis;K00014;shikimate dehydrogenase;aroE;EC:1.1.1.25
K00014;09100;Metabolism;09110;Biosynthesis of other secondary metabolites;00999;Biosynthesis of various plant secondary metabolites;K00014;shikimate dehydrogenase;aroE;EC:1.1.1.25
K00015;09100;Metabolism;09101;Carbohydrate metabolism;00630;Glyoxylate and dicarboxylate metabolism;K00015;glyoxylate reductase;gyaR, GOR1;EC:1.1.1.26
K00016;09100;Metabolism;09101;Carbohydrate metabolism;00010;Glycolysis / Gluconeogenesis;K00016;L-lactate dehydrogenase;LDH, ldh;EC:1.1.1.27
